"user","longitude","latitude","Axe Temps","id","picture","datetaken"
"10095713@N07",4.8494,45.757,4177,"818736593","http://farm2.staticflickr.com/1042/818736593_b8c79dace6_t.jpg","2006-12-08"
"10095713@N07",4.8497,45.757,4159,"818735395","http://farm2.staticflickr.com/1341/818735395_6034213e66_t.jpg","2006-11-20"
"10154171@N05",4.829,45.759,5828,"5739200279","http://farm3.staticflickr.com/2191/5739200279_065aaa45e6_t.jpg","2011-05-15"
"10154171@N05",4.829,45.759,5962,"6184836168","http://farm7.staticflickr.com/6169/6184836168_d78aa0ce22_t.jpg","2011-09-26"
"10154171@N05",4.842,45.751,5763,"5522825802","http://farm6.staticflickr.com/5020/5522825802_aeb38bbcec_t.jpg","2011-03-12"
"10180314@N06",4.812,45.737,5853,"5843080882","http://farm6.staticflickr.com/5079/5843080882_c39c6fb588_t.jpg","2011-06-09"
"10180314@N06",4.8121,45.737,5853,"5842543287","http://farm4.staticflickr.com/3241/5842543287_e019aa63dd_t.jpg","2011-06-09"
"10180314@N06",4.8142,45.742,5853,"5842542193","http://farm4.staticflickr.com/3299/5842542193_35174e9bc1_t.jpg","2011-06-09"
"10180314@N06",4.8146,45.737,5853,"5842549783","http://farm3.staticflickr.com/2561/5842549783_c8dac04067_t.jpg","2011-06-09"
"10180314@N06",4.8147,45.731,5853,"5842531607","http://farm3.staticflickr.com/2488/5842531607_fcb6167b12_t.jpg","2011-06-09"
"10180314@N06",4.8148,45.731,5853,"5843093394","http://farm3.staticflickr.com/2551/5843093394_1fd8b2bd3c_t.jpg","2011-06-09"
"10180314@N06",4.8149,45.735,5853,"5842544195","http://farm3.staticflickr.com/2590/5842544195_cce0e082fd_t.jpg","2011-06-09"
"10180314@N06",4.817,45.749,5853,"5842545619","http://farm4.staticflickr.com/3051/5842545619_79f42b85b0_t.jpg","2011-06-09"
"10180314@N06",4.8215,45.752,5853,"5843083198","http://farm6.staticflickr.com/5036/5843083198_562d52354d_t.jpg","2011-06-09"
"10180314@N06",4.823,45.751,5853,"5842539701","http://farm6.staticflickr.com/5073/5842539701_0778af902d_t.jpg","2011-06-09"
"10180314@N06",4.8256,45.766,5039,"3406660001","http://farm4.staticflickr.com/3378/3406660001_dbbf79c1de_t.jpg","2009-04-01"
"10180314@N06",4.8389,45.756,4960,"3203988415","http://farm4.staticflickr.com/3535/3203988415_992e6d3fc6_t.jpg","2009-01-15"
"10208741@N00",4.822,45.753,5408,"4482862174","http://farm3.staticflickr.com/2712/4482862174_2f6c2aa9a4_t.jpg","2010-03-29"
"10259776@N00",4.8326,45.775,4416,"1304172402","http://farm2.staticflickr.com/1084/1304172402_04d95831b0_t.jpg","2007-07-29"
"10295333@N07",4.8258,45.759,4532,"2052679350","http://farm3.staticflickr.com/2065/2052679350_3ba7f79b82_t.jpg","2007-11-21"
"10295333@N07",4.8308,45.77,4457,"1348489878","http://farm2.staticflickr.com/1053/1348489878_34e917e6a0_t.jpg","2007-09-08"
"10295333@N07",4.8352,45.765,4407,"861381404","http://farm2.staticflickr.com/1406/861381404_4d7a6b02c8_t.jpg","2007-07-20"
"10404945@N05",4.8206,45.763,4481,"1468402347","http://farm2.staticflickr.com/1425/1468402347_9aa8a23fba_t.jpg","2007-10-01"
"10404945@N05",4.8206,45.763,4518,"1915012417","http://farm3.staticflickr.com/2258/1915012417_d6da4e3355_t.jpg","2007-11-08"
"10404945@N05",4.8209,45.732,4573,"2168328423","http://farm3.staticflickr.com/2121/2168328423_e3162d23fa_t.jpg","2007-12-31"
"10404945@N05",4.8225,45.762,4771,"2662836575","http://farm4.staticflickr.com/3272/2662836575_2ec1899585_t.jpg","2008-07-13"
"10404945@N05",4.8235,45.759,6410,"8256521107","http://farm9.staticflickr.com/8352/8256521107_2548909e6e_t.jpg","2012-12-08"
"10404945@N05",4.8256,45.758,5374,"4392269794","http://farm5.staticflickr.com/4072/4392269794_27d470fc9b_t.jpg","2010-02-27"
"10404945@N05",4.8264,45.76,4479,"1464252366","http://farm2.staticflickr.com/1387/1464252366_41f9fef35e_t.jpg","2007-09-30"
"10404945@N05",4.8299,45.76,6410,"8256518115","http://farm9.staticflickr.com/8209/8256518115_a627c4b083_t.jpg","2012-12-07"
"10404945@N05",4.8316,45.761,4518,"1915920986","http://farm3.staticflickr.com/2153/1915920986_cfb8d3bf50_t.jpg","2007-11-08"
"10404945@N05",4.833,45.749,4664,"2372211188","http://farm3.staticflickr.com/2359/2372211188_e5cd6f24ef_t.jpg","2008-03-29"
"10404945@N05",4.8332,45.771,4666,"2376227917","http://farm4.staticflickr.com/3030/2376227917_65cecb1e9c_t.jpg","2008-03-31"
"10404945@N05",4.8342,45.772,4661,"2363049455","http://farm3.staticflickr.com/2382/2363049455_9ee6b04a3c_t.jpg","2008-03-26"
"10404945@N05",4.8342,45.772,4662,"2367757739","http://farm3.staticflickr.com/2318/2367757739_9645e99fba_t.jpg","2008-03-28"
"10404945@N05",4.8345,45.765,4585,"2188400165","http://farm3.staticflickr.com/2331/2188400165_05de08ce0a_t.jpg","2008-01-13"
"10404945@N05",4.8354,45.768,4518,"1905822934","http://farm3.staticflickr.com/2279/1905822934_d045a60787_t.jpg","2007-11-07"
"10404945@N05",4.8354,45.768,5326,"4297984409","http://farm5.staticflickr.com/4046/4297984409_7ba5d5fda6_t.jpg","2010-01-09"
"10404945@N05",4.8357,45.761,4521,"1952040993","http://farm3.staticflickr.com/2116/1952040993_f2b6440822_t.jpg","2007-11-10"
"10404945@N05",4.8357,45.761,4581,"2178048003","http://farm3.staticflickr.com/2260/2178048003_8db9f93af4_t.jpg","2008-01-08"
"10404945@N05",4.8357,45.761,6410,"8256515899","http://farm9.staticflickr.com/8353/8256515899_48ffaab5c1_t.jpg","2012-12-08"
"10404945@N05",4.8371,45.769,4518,"1905822964","http://farm3.staticflickr.com/2110/1905822964_f71201e4ee_t.jpg","2007-11-07"
"10404945@N05",4.8371,45.769,6411,"8261199143","http://farm9.staticflickr.com/8359/8261199143_eda299b3c7_t.jpg","2012-12-08"
"10404945@N05",4.8374,45.751,4519,"1922310239","http://farm3.staticflickr.com/2341/1922310239_4fa7425a4b_t.jpg","2007-11-08"
"10404945@N05",4.838,45.757,4581,"2178048017","http://farm3.staticflickr.com/2274/2178048017_4d6142f4d9_t.jpg","2008-01-08"
"10404945@N05",4.8382,45.765,4975,"3271677141","http://farm4.staticflickr.com/3524/3271677141_29b8d0f69d_t.jpg","2009-01-30"
"10404945@N05",4.8393,45.764,6410,"8257583408","http://farm9.staticflickr.com/8216/8257583408_5d5dd4056f_t.jpg","2012-12-08"
"10404945@N05",4.8407,45.763,4664,"2371383781","http://farm3.staticflickr.com/2109/2371383781_d27570129a_t.jpg","2008-03-29"
"10404945@N05",4.844,45.769,4479,"1464252382","http://farm2.staticflickr.com/1153/1464252382_7bf0d71329_t.jpg","2007-09-30"
"10404945@N05",4.844,45.769,4519,"1921935333","http://farm3.staticflickr.com/2030/1921935333_265a80fb87_t.jpg","2007-11-08"
"10404945@N05",4.846,45.769,4736,"2662850975","http://farm4.staticflickr.com/3004/2662850975_67ec25be89_t.jpg","2008-06-08"
"10404945@N05",4.8463,45.754,4519,"1923468360","http://farm3.staticflickr.com/2280/1923468360_d77a245274_t.jpg","2007-11-08"
"10404945@N05",4.8494,45.761,4575,"2181315506","http://farm3.staticflickr.com/2366/2181315506_0517c17c09_t.jpg","2008-01-02"
"10404945@N05",4.8496,45.771,5326,"4280767993","http://farm5.staticflickr.com/4056/4280767993_6318a3e9dc_t.jpg","2010-01-09"
"10404945@N05",4.8515,45.778,5327,"4299691537","http://farm3.staticflickr.com/2763/4299691537_04ffcaf486_t.jpg","2010-01-10"
"10404945@N05",4.853,45.774,5327,"4304764828","http://farm3.staticflickr.com/2780/4304764828_3ebc0a7c75_t.jpg","2010-01-10"
"10404945@N05",4.8544,45.778,4482,"1471882705","http://farm2.staticflickr.com/1399/1471882705_93ab60c5cc_t.jpg","2007-10-02"
"10404945@N05",4.8544,45.778,4519,"1922593478","http://farm3.staticflickr.com/2015/1922593478_faf7cc1948_t.jpg","2007-11-08"
"10435661@N05",4.8283,45.761,4266,"2289560098","http://farm4.staticflickr.com/3088/2289560098_0855d86081_t.jpg","2007-03-03"
"10435661@N05",4.8283,45.761,4267,"2289606518","http://farm3.staticflickr.com/2089/2289606518_0e0e2151cb_t.jpg","2007-03-04"
"10435661@N05",4.8283,45.761,4343,"894562274","http://farm2.staticflickr.com/1395/894562274_cb173efdab_t.jpg","2007-05-19"
"10435661@N05",4.8283,45.761,4345,"893742565","http://farm2.staticflickr.com/1281/893742565_81320bf79b_t.jpg","2007-05-20"
"10456957@N00",4.8306,45.76,4403,"1019495198","http://farm2.staticflickr.com/1180/1019495198_2c28a0760c_t.jpg","2007-07-16"
"10456957@N00",4.8319,45.76,4403,"1019510002","http://farm2.staticflickr.com/1334/1019510002_61f182f4ee_t.jpg","2007-07-16"
"10456957@N00",4.832,45.76,4403,"1018643127","http://farm2.staticflickr.com/1381/1018643127_46752dda33_t.jpg","2007-07-16"
"10462119@N08",4.8353,45.771,3819,"879816506","http://farm2.staticflickr.com/1096/879816506_c8e4a210ea_t.jpg","2005-12-22"
"10462119@N08",4.8353,45.771,3825,"879818272","http://farm2.staticflickr.com/1054/879818272_31bd884deb_t.jpg","2005-12-27"
"10504021@N06",4.816,45.741,4901,"3112739359","http://farm4.staticflickr.com/3200/3112739359_b7bbe2e519_t.jpg","2008-11-18"
"10504021@N06",4.8166,45.742,5068,"3512561797","http://farm4.staticflickr.com/3410/3512561797_62e2a47742_t.jpg","2009-04-30"
"10504021@N06",4.8166,45.742,5203,"3926642371","http://farm3.staticflickr.com/2438/3926642371_f8951b4f62_t.jpg","2009-09-10"
"10504021@N06",4.8583,45.761,5207,"3919162029","http://farm3.staticflickr.com/2490/3919162029_cbe7af8e87_t.jpg","2009-09-14"
"10504021@N06",4.8601,45.761,5207,"3919945312","http://farm3.staticflickr.com/2574/3919945312_fd5f5edcda_t.jpg","2009-09-14"
"10504021@N06",4.8604,45.761,5243,"4026061298","http://farm3.staticflickr.com/2553/4026061298_b4c9c19c22_t.jpg","2009-10-19"
"10521771@N00",4.8267,45.761,4701,"3396965548","http://farm4.staticflickr.com/3546/3396965548_a7b3afcf11_t.jpg","2008-05-04"
"10521771@N00",4.8272,45.763,5073,"3507813294","http://farm4.staticflickr.com/3570/3507813294_9f6b13138e_t.jpg","2009-05-05"
"10533740@N03",4.8218,45.762,5154,"8877658578","http://farm8.staticflickr.com/7311/8877658578_b64efa4f55_t.jpg","2009-07-23"
